id,name,author_name,author_note,ingredients,steps
21,Kuře na paprice,Roman Vaněk,"S Rohlíkem jsme dali dohromady výběr nejoblíbenějších receptů z mých kuchařek a propojili je se správnými ingrediencemi. Dejte nám vědět, jak se vám jídlo povedlo <strong>#rohlikchef</strong>","Česnek, Citron, Houskové knedlíky, Krájená cibule, Kuřecí prsa bez kůže, Kuřecí vývar, Máslo, Pepř černý , Rajský protlak, Rostlinný olej, Rýže, Sladká paprika, Slanina, Smetana ke šlehání (min. 31%), Sůl, Těstoviny, Víno vhodné k drůbežímu masu, Žervé","Do kastrolu vrátíme maso, přilijeme polovinu vývaru a promícháme plochou vařečkou ode dna, aby se vytvořený nápek odvařil zpět do tekutiny. Přilijeme zbytek vývaru a přivedeme k varu. Stáhneme oheň na polovinu a tekutinu svaříme na polovinu objemu., Do omáčky můžete přidat 1 lžičku uzené papriky a špetku papriky pálivé.

Mletou papriku přidávejte vždy do rozehřátého tuku.

Podávejte s těstovinovými kolínky, rýží nebo knedlíkem., Maso nakrájíme na kostky o hraně 3 cm. Cibuli a česnek nakrájíme nahrubo. Slaninu nakrájíme na hranolky široké 1 cm., Přidáme cibuli a česnek a restujeme vše do světle zlaté barvy. Přidáme rajský protlak a restujeme 1 minutu. Přidáme sladkou papriku, promícháme a restujeme 20 vteřin., Přilijeme smetanu, přivedeme k varu, přidáme žervé a dobře promícháme. Vaříme na středním ohni 4 minuty. Přidáme citronovou šťávu, promícháme, stáhneme z ohně a dle chuti osolíme a opepříme., V kastrolu na vyš"
22,Pečená kachna s červeným zelím a bramborovým knedlíkem,Roman Vaněk,"S Rohlíkem jsme dali dohromady výběr nejoblíbenějších receptů z mých kuchařek a propojili je se správnými ingrediencemi. Dejte nám vědět, jak se vám jídlo povedlo <strong>#rohlikchef</strong>","Bramborový škrob, Brambory varný typ B nebo C, Červené zelí, Cibule, Cukr krupice, Hladká mouka, Hrubá mouka, Kachna, Kmín celý, Ocet, Sádlo, Sůl, Vejce, Vhodné pivo","Cibuli nakrájíme najemno. V kastrolu na vyšším ohni rozehřejeme 60 g sádla, přidáme cibuli a necháme ji zpěnit. Přidáme kmín a za častého míchání cibuli orestujeme do světle zlatavé barvy. Přidáme zelí, zamícháme a stáhneme ho ke straně tak, aby bylo částečně vidět dno kastrolu. Na ně vsypeme cukr a krátce promícháme v tuku. Jakmile se cukr začne zbarvovat dozlatova, smícháme ho důkladně se zelím. Přidáme sůl, zalijeme octem a důkladně promícháme. Přiklopíme pokličkou, oheň stáhneme na minimum a dusíme, dokud není zelí měkké. Během dušení zelí občas promícháme a opět přikryjeme pokličkou., Do masa byste vůbec neměli píchat, zbytečně by z něho unikla šťáva a kachna by byla vysušená. Na začátku pečení propíchejte jen kůži, aby mohl vytéct přebytečný podkožní tuk.

Víte, jak poznáte, že je kachna upečená? Když ji vezmete za stehenní kost, měla by se lehce otočit. 

Vypečené kachní sádlo můžete dát do či"
23,Bramboračka,Roman Vaněk,"S Rohlíkem jsme dali dohromady výběr nejoblíbenějších receptů z mých kuchařek a propojili je se správnými ingrediencemi. Dejte nám vědět, jak se vám jídlo povedlo <strong>#rohlikchef</strong>","Brambory varný typ B, Celer, Čerstvě drcený pepř, Česnek, Cibule, Drcený kmín, Hladká mouka, Máslo, Mrkev, Petržel, Plocholistá petržel, Sůl, Sušená majoránka, Sušené houby","Cibuli, kořenovou zeleninu a brambory nakrájíme na kostky o hraně 1 cm. Česnek oloupeme a nakrájíme najemno. Sušené houby namočíme do vody, aby změkly., Hotovou polévku dle chuti osolíme, opepříme a přidáme nakrájenou petržel., Nejprve orestujte zeleninu, teprve když hezky zezlátne, přidejte cibuli. Ta totiž karamelizuje rychleji než kořenová zelenina. Kdybyste ji restovali hned na začátku spolu se zeleninou, připalovala by se. 

V sezoně použijte pochopitelně houby čerstvé. 300 g směsi očištěných a nakrájených hub bude stačit. Pokrájejte je na větší kusy a orestujte je v rozpálené pánvi na vyšším ohni do zlaté barvy hned po zelenině. Teprve pak přidejte cibuli a pokračujte.

Jakmile zeleninu zaprášíte moukou, nezapomeňte stáhnout oheň na třetinu a s takto připravenou jíškou míchejte. Nebojte se případného nápeku vzniklého na dně hrnce. Jakmile přilijete vodu, nápek se postupně rozpustí. Dejte pozor, aby vzniklý nápek nezčernal, "
24,Bramborové knedlíky kulaté,Roman Vaněk,"S Rohlíkem jsme dali dohromady výběr nejoblíbenějších receptů z mých kuchařek a propojili je se správnými ingrediencemi. Dejte nám vědět, jak se vám jídlo povedlo <strong>#rohlikchef</strong>","Bramborový škrob, Brambory varný typ B nebo C, Hrubá mouka, Sádlo, Sůl, Vejce","Do většího hrnce dáme vařit dobře osolenou vodu na knedlíky., Na pomoučeném stole či válu vytvarujeme z těsta kulaté knedlíky o průměru 5 cm a ihned je vkládáme do osolené vroucí vody. Vaříme 6 –7 minut. Hotové knedlíky vyjmeme děrovanou naběračkou z vody a dáme je na plech s rozehřátým sádlem, ve kterém je obalíme, aby neokoraly., Těsto by nemělo být ani příliš husté, ani moc řídké. Proto mouku přidávejte postupně, abyste získali ideální konzistenci. Bramborové těsto má tendenci řídnout, musíte tedy pracovat rychle.

Studené knedlíky ohřejte v rendlíku s trochou vody, kterou přivedete k varu, vložíte pařáček s knedlíky a rendlík přikryjete pokličkou.

Takto připravené knedlíky můžete nechat vychladit a případně zmrazit.

Do tohoto pokrmu potřebujete brambory varného typu C. Konečné množství 1 kg je množství ve slupce uvařených, oloupaných a vychlazených brambor.

Než začnete vypracovávat bramborové těsto, musí b"
25,Bramborový salát,Roman Vaněk,"S Rohlíkem jsme dali dohromady výběr nejoblíbenějších receptů z mých kuchařek a propojili je se správnými ingrediencemi. Dejte nám vědět, jak se vám jídlo povedlo <strong>#rohlikchef</strong>","Brambory, varný typ A, Celer, Krájená cibule, Majonéza, Mrkev, Nakládané okurky, Pepř černý , Petržel, Plnotučná hořčice, Sůl, Vejce","Jakmile jde do brambor zapíchnout vidličku nebo kuchyňskou jehlu, aniž by kladla odpor, jsou brambory měkké. 

Brambory na salát nepřevařte, jinak se v něm rozpadnou. Totéž platí pro kořenovou zeleninu. 

Ideální brambory na salát jsou „keřkovské rohlíčky“.

Do salátu můžete přidat i malé oloupané a najemno nastrouhané jablko. 

Místo láku z okurek můžete salát ochutit citronovou šťávou., Očištěné brambory uvaříme ve slupce v osolené vodě doměkka, slijeme vodu a ještě vlažné oloupeme. Mrkev, celer a petržel uvaříme téměř doměkka a necháme vychladnout., Přidáme majonézu, hořčici, 2 lžičky soli, 1 kávovou lžičku čerstvě mletého pepře a promícháme. Přilijeme 2 lžíce láku z okurek a promícháme. Opatrně vmícháme nakrájená vejce. Dochutíme solí a necháme alespoň 4 hodiny (nejlépe přes noc) v chladu uležet., Uvařenou zeleninu nakrájíme na kostky o hraně 1 cm a dáme do větší mísy. Cibuli nakrájíme najemno a přid"
26,Bryndzové halušky,Roman Vaněk,"S Rohlíkem jsme dali dohromady výběr nejoblíbenějších receptů z mých kuchařek a propojili je se správnými ingrediencemi. Dejte nám vědět, jak se vám jídlo povedlo <strong>#rohlikchef</strong>","Brambory varný typ B, Bryndza, Cibule, Mléko, Polohrubá mouka, Sádlo, Slanina, Smetana ke šlehání (min. 31%), Sůl, Vejce, Vhodné pivo, Zakysaná smetana","Brambory nastrouháme najemno. Dáme do mísy a vymačkáme z nich vodu. Přidáme mouku, vejce a sůl a vymícháme těsto. Ve velkém hrnci přivedeme k varu větší množství vody., Část těsta na halušky rozetřeme na mokré prkénko, položíme ho na okraj hrnce s vroucí vodou a příborovým nožem do vody odkrajujeme (sekáme) přes okraj prkénka halušky. Jakmile vyplavou na povrch, počkáme 20 vteřin a plochým sítkem je vyndáváme a dáváme do mísy. Halušky nevaříme najednou, ale zhruba po třetinách, aby část nebyla rozvařená a část nedovařená., Cibuli nakrájíme najemno. Slaninu nakrájíme na kostky o hraně 1 cm., Každou dávku v míse pokryjeme částí nadrobené brynzy, která se na nich rozpustí. Poslední vrstvu zalijeme horkou zálivkou ze smetany, mléka, cibule a slaniny. Lehce promícháme. Na talíři dochutíme lžičkou zakysané smetany., Nejlepší jsou staré brambory. Pokud budete mít jen nové, přidejte do těsta ještě 2 polévkové lžíce škrob"
27,Červené zelí,Roman Vaněk,"S Rohlíkem jsme dali dohromady výběr nejoblíbenějších receptů z mých kuchařek a propojili je se správnými ingrediencemi. Dejte nám vědět, jak se vám jídlo povedlo <strong>#rohlikchef</strong>","Červené zelí, Cibule, Cukr krupice, Kmín celý, Ocet, Sádlo, Sůl","Budete-li připravovat červené zelí ke kachně, použijte namísto vepřového sádla do tohoto pokrmu stejné množství sádla kachního. Stačí ho nasbírat během pečení kachny., Cibuli nakrájíme najemno. V kastrolu na vyšším ohni rozehřejeme 60 g sádla, přidáme cibuli a necháme ji zpěnit. Přidáme kmín a za častého míchání cibuli orestujeme do světle zlatavé barvy. Přidáme zelí, zamícháme a stáhneme ho ke straně tak, aby bylo částečně vidět dno kastrolu. Na ně vsypeme cukr a krátce promícháme v tuku. Jakmile se cukr začne zbarvovat dozlatova, smícháme ho důkladně se zelím. Přidáme sůl, zalijeme octem a důkladně promícháme. Přiklopíme pokličkou, oheň stáhneme na minimum a dusíme, dokud není zelí měkké. Během dušení zelí občas promícháme a opět přikryjeme pokličkou., Jakmile je zelí měkké, sundáme pokličku, zvýšíme oheň a za stálého míchání restujeme zelí další 3 minuty. Stáhneme z ohně a vmícháme zbylé sádlo,"
28,Čokoládová buchta s jablky,Roman Vaněk,"S Rohlíkem jsme dali dohromady výběr nejoblíbenějších receptů z mých kuchařek a propojili je se správnými ingrediencemi. Dejte nám vědět, jak se vám jídlo povedlo <strong>#rohlikchef</strong>","Hrubá mouka, Jablko, Kakao, Káva vhodná k tomuto pokrmu, Máslo, Mléko, Moučkový cukr, Polohrubá mouka, Prášek do pečiva, Vejce","Hotovou buchtu necháme 5 minut zchladnout ve formě, poté ji vyklopíme na mřížku a necháme zcela vychladnout., Podávejte s ušlehanou smetanou.

Upečené těsto poznáte tak, že když do středu buchty zapíchnete špejli a vytáhnete ji, zůstane suchá. Pokud je na špejli po vytažení syrové těsto, pečte ještě chvíli., Těsto vlijeme do formy, vložíme do rozehřáté trouby a pečeme 20 minut., Troubu rozehřejeme na 175 °C. Formu vymažeme máslem a vysypeme moukou., Veškeré suroviny kromě jablek vložíme do mísy robotu a mícháme na střední rychlost 3 minuty. Přidáme jablka, snížíme rychlost a 1 minutu mícháme., Z jablek vykrojíme jádřince a jablka nakrájíme na kostky o hraně 1 cm."
29,Dukátové buchtičky s vanilkovým krémem,Roman Vaněk,"S Rohlíkem jsme dali dohromady výběr nejoblíbenějších receptů z mých kuchařek a propojili je se správnými ingrediencemi. Dejte nám vědět, jak se vám jídlo povedlo <strong>#rohlikchef</strong>","Čerstvé droždí, Cukr krupice, Hladká mouka, Máslo, Mléko, Sádlo, Smetana ke šlehání (min. 31%), Sůl, Tuzemský rum, Vanilkový lusk, Vejce, Žloutek","Do misky rozdrobíme droždí, přidáme 1 lžičku cukru, 2 lžíce vlažného mléka a necháme 10 minut v pokojové teplotě vzniknout kvásek., Do mísy nasypeme hladkou mouku, přidáme špetku soli, zbytek cukru, vejce, přilijeme mléko s máslem a kvásek. Vypracujeme hladké těsto, poprášíme moukou a necháme 1 hodinu kynout na teplém místě, dokud těsto alespoň nezdvojnásobí svůj objem., Jakmile krém zhoustne, ihned rendlík stáhneme z ohně a přes síto přecedíme do čisté nádoby. Během chladnutí krém ještě zhoustne – několikrát ho promícháme, aby zůstal hladký., Kuličky klademe jednu vedle druhé do vymazaného pekáčku. Každou ještě pomažeme ze všech stran rozpuštěným sádlem. Pekáč vložíme do rozehřáté trouby a pečeme 20 minut dozlatova., Těsto na buchtičky je třeba skutečně důkladně propracovat – vařečkou ho musíte jakoby nadlehčit, aby se do něj dostal vzduch. Těsto se po chvilce samo začne odlepovat od stěn mísy. Hotové je, k"
30,Guacamole,Roman Vaněk,"S Rohlíkem jsme dali dohromady výběr nejoblíbenějších receptů z mých kuchařek a propojili je se správnými ingrediencemi. Dejte nám vědět, jak se vám jídlo povedlo <strong>#rohlikchef</strong>","Avokádo, Čerstvě drcený pepř, Čerstvý koriandr, Červená Chilli paprička, Česnek, Cherry rajčata, Limeta, Nachos, Olivový olej, Sůl, Zakysaná smetana","Avokádo můžete namačkat vidličkou celé množství. Guacamole bude mít jemnější texturu.

Do guacamole můžete přidat lžičku dijonské hořčice.
 
Podávejte s nachos., Avokádo rozkrojíme napůl a vyndáme pecku. Lžící vydlabeme dužninu ze slupky a nakrájíme ji na drobné kostičky. Vložíme je do misky a polovinu promačkáme vidličkou., Přidáme olej, zakysanou smetanu, limetovou šťávu, česnek, chilli papričku a koriandr. Nakonec vmícháme nakrájená rajčata. Dle chuti osolíme a opepříme, promícháme a dáme na chvíli vychladit do ledničky., Rajčata rozkrojíme a vyřízneme tuhé středy a semínka. Dužninu nakrájíme najemno. Česnek prolisujeme nebo nakrájíme najemno. Chilli papričku rozřízneme, zbavíme zrníček a nakrájíme najemno."
